observation_id_ref,scientific_name,sex_P21,confidence_score,annotator_metadata,Crown,Crest,Nape,Chin,Bill,Gorget,Breast,Belly,Flanks,Back,Rump,Tail_coverts,Rectrices,Remiges
306875846,Heliodoxa branickii,Male,2,User: Jair | Session: 2026-04-29 19:53,Q137832067,Q106512361,Q131392587,Q123227593,Q23445,Q5402922,Q11677801,Q22963919,Q15141723,Q109435152,Q115653492,Q115924565,Q137374868,Q111851367
339452416,Heliodoxa xanthogonys,Female,3,User: Jair | Session: 2026-04-29 20:17,Q3556204,Q106512361,Q3556203,Q109442450,Q109433917,Q5402922,Q35625860,Q35625860,Q111851367,Q25349006,Q3776736,Q115924565,Q137374868,Q90809398
346476620,Heliodoxa jacula,Male,1,User: Jair | Session: 2026-04-29 20:37,Q56881339,Q90809441,Q691510,Q39046969,Q109433917,Q11606233,Q35625860,Q90809482,Q5922149,Q69914710,Q111812647,Q115924565,Q115941768,Q90809398
331347938,Heliodoxa gularis,Male,4,User: Jair | Session: 2026-05-04 16:20,Q137832067,Q106512361,Q111851367,Q11622600,Q124302386,Q6826076,Q119267340,Q119267340,Q11677801,Q3556203,Q111851367,Q372669,Q109433917,Q137374868
345557939,Heliodoxa imperatrix,Female,4,User: Jair | Session: 2026-05-04 17:03,Q111851367,Q106512361,Q111851367,Q133280730,Q124302386,Q3776737,Q11622600,Q108312069,Q24837001,Q96803467,Q3776736,Q137374868,Q124328099,Q124328099
345768642,Patagona gigas,Female,2,User: Jair | Session: 2026-05-04 17:44,Q124302386,Q106512361,Q137374868,Q115413850,Q123227593,Q137374868,Q3757283,Q136459339,Q132673694,Q96803467,Q124302386,Q901731,Q76011056,Q137374868
344896533,Doryfera johannae,Male,4,User: Jair | Session: 2026-05-04 18:01,Q90809308,Q106512361,Q124302386,Q132459375,Q17990717,Q61927422,Q56881339,Q112732567,Q116787015,Q90799158,Q90809470,Q901731,Q953243,Q19571398
346395684,Doryfera ludovicae,Male,3,User: Jair | Session: 2026-05-04 19:00,Q108183,Q124328099,Q109442450,Q109435152,Q130530219,Q1403218,Q56881339,Q1411452,Q3375649,Q3556204,Q112083819,Q3985184,Q24836972,Q124328099
197406312,Sternoclyta cyanopectus,Female,4,User: Jair | Session: 2026-05-06 21:36,Q4009899,Q106512361,Q3160411,Q133289362,Q123227593,Q115640889,Q3160411,Q972729,Q115653492,Q492192,Q492192,Q901715,Q11622600,Q536284
337810042,Myrmia micrura,Male,2,User: Jair | Session: 2026-05-06 21:49,Q106622682,Q68223248,Q5120881,Q1970335,Q123227593,Q90809286,Q972729,Q90809422,Q90809519,Q131618362,Q1770362,Q3832523,Q115702282,Q15141414
346404931,Heliomaster constantii,Male,2,User: Jair | Session: 2026-05-06 22:03,Q106006725,Q106512361,Q18349136,Q109433917,Q123227593,Q1632621,Q650770,Q90809250,Q650770,Q5120881,Q96803467,Q5120881,Q3309916,Q124302386
346266638,Heliomaster squamosus,Male,4,User: Jair | Session: 2026-05-06 22:28,Q23931909,Q106512361,Q96803467,Q115702282,Q123227593,Q1402829,Q109435152,Q69915238,Q69914710,Q132797426,Q97342321,Q96803467,Q115702282,Q11538718
346055661,Heliomaster longirostris,Male,4,User: Jair | Session: 2026-05-07 22:08,Q111812647,Q89507824,Q901731,Q123227593,Q901715,Q1120984,Q3776737,Q115941768,Q5025363,Q132459375,Q112056389,Q111851367,Q124328099,Q1403218
346257837,Heliomaster furcifer,Male,4,User: Jair | Session: 2026-05-07 22:21,Q4281308,Q42845936,Q11538718,Q130530219,Q901715,Q23931911,Q23931909,Q23931911,Q2906519,Q90809255,Q115676970,Q112083819,Q42845936,Q90809398
345992584,Lophornis adorabilis,Male,4,User: Jair | Session: 2026-05-07 22:36,Q106061107,Q3639460,Q17105502,Q115653492,Q3117006,Q24574924,Q22963968,Q2564184,Q21864306,Q109433936,Q536284,Q11521542,Q19888352,Q115653670
346488202,Lophornis chalybeus,Female,4,User: Jair | Session: 2026-05-07 23:01,Q124302386,Q137374868,Q4281308,Q5347944,Q123227593,Q2905897,Q25614085,Q115413850,Q56887985,Q492192,Q106622682,Q843607,Q90809422,Q132859887
346482673,Lophornis delattrei,Male,4,User: Jair | Session: 2026-05-07 23:28,Q60971306,Q23445,Q111080140,Q15141721,Q3117006,Q11607726,Q22963901,Q3900633,Q90809482,Q3160411,Q909115,Q90799164,Q96803467,Q864152
